Year,Temp_Change,clusters,cluster
1961,0.14469866515194546,1,purple
1962,-0.035783913905409234,1,purple
1963,-0.030519476826841058,1,purple
1964,-0.11580125822133257,1,purple
1965,-0.22185649072753208,1,purple
1966,0.10890653943306203,1,purple
1967,-0.12695504664970314,1,purple
1968,-0.16411362992349107,1,purple
1969,0.12606923076923077,1,purple
1970,0.08445302299176838,1,purple
1971,-0.18340785413744742,1,purple
1972,-0.05005158951477969,1,purple
1973,0.19030152143845092,1,purple
1974,-0.12303556543484301,1,purple
1975,-0.03464562289562289,1,purple
1976,-0.20762850729517396,1,purple
1977,0.18142600896860986,1,purple
1978,0.05346896743668244,1,purple
1979,0.21755722639933167,1,purple
1980,0.1988887038578962,1,purple
1981,0.1944182988248461,1,purple
1982,0.15209062850729518,1,purple
1983,0.33864086687306505,1,purple
1984,0.07679364633117795,1,purple
1985,0.06693293718166383,1,purple
1986,0.11289464788732395,1,purple
1987,0.40620801794224837,1,purple
1988,0.4173024294889695,1,purple
1989,0.2723933967543369,1,purple
1990,0.5566795626576955,2,dark purple
1991,0.3213670137911624,1,purple
1992,0.24973340248962655,1,purple
1993,0.2298793103448276,1,purple
1994,0.5710322748568454,2,dark purple
1995,0.5854257528556593,2,dark purple
1996,0.29780750323415267,1,purple
1997,0.5541612473347548,2,dark purple
1998,0.9452911158117397,2,dark purple
1999,0.7300579710144928,2,dark purple
2000,0.6762557651991614,2,dark purple
2001,0.8089111229377328,2,dark purple
2002,0.9076330972987149,2,dark purple
2003,0.8431805950840879,2,dark purple
2004,0.770324513618677,2,dark purple
2005,0.8483283389305089,2,dark purple
2006,0.8751775557263644,2,dark purple
2007,0.9754910759816421,2,dark purple
2008,0.7960077061392243,2,dark purple
2009,0.9231372093023257,2,dark purple
2010,1.0500061999483339,2,dark purple
2011,0.8349422531580304,2,dark purple
2012,0.8748360528360529,2,dark purple
2013,0.9373440448865086,2,dark purple
2014,1.1193421866941724,0,pink
2015,1.2990046499612504,0,pink
2016,1.4077067046337042,0,pink
2017,1.2663600309039402,0,pink
2018,1.3022455460883036,0,pink
2019,1.452609156751164,0,pink
2020,1.5002174928627043,0,pink
